# slug	dex	name	types   (generated by update-pokedex.sh; local, no runtime network)
scorbunny	813	Scorbunny	fire
raboot	814	Raboot	fire
cinderace	815	Cinderace	fire
sobble	816	Sobble	water
drizzile	817	Drizzile	water
inteleon	818	Inteleon	water
skwovet	819	Skwovet	normal
greedent	820	Greedent	normal
rookidee	821	Rookidee	flying
corvisquire	822	Corvisquire	flying
corviknight	823	Corviknight	flying,steel
blipbug	824	Blipbug	bug
dottler	825	Dottler	bug,psychic
orbeetle	826	Orbeetle	bug,psychic
nickit	827	Nickit	dark
thievul	828	Thievul	dark
gossifleur	829	Gossifleur	grass
eldegoss	830	Eldegoss	grass
wooloo	831	Wooloo	normal
dubwool	832	Dubwool	normal
chewtle	833	Chewtle	water
drednaw	834	Drednaw	water,rock
yamper	835	Yamper	electric
boltund	836	Boltund	electric
rolycoly	837	Rolycoly	rock
carkol	838	Carkol	rock,fire
coalossal	839	Coalossal	rock,fire
applin	840	Applin	grass,dragon
flapple	841	Flapple	grass,dragon
appletun	842	Appletun	grass,dragon
silicobra	843	Silicobra	ground
sandaconda	844	Sandaconda	ground
cramorant	845	Cramorant	flying,water
arrokuda	846	Arrokuda	water
barraskewda	847	Barraskewda	water
toxel	848	Toxel	electric,poison
toxtricity	849	Toxtricity	electric,poison
sizzlipede	850	Sizzlipede	fire,bug
centiskorch	851	Centiskorch	fire,bug
clobbopus	852	Clobbopus	fighting
grapploct	853	Grapploct	fighting
sinistea	854	Sinistea	ghost
polteageist	855	Polteageist	ghost
hatenna	856	Hatenna	psychic
hattrem	857	Hattrem	psychic
hatterene	858	Hatterene	psychic,fairy
impidimp	859	Impidimp	dark,fairy
morgrem	860	Morgrem	dark,fairy
grimmsnarl	861	Grimmsnarl	dark,fairy
obstagoon	862	Obstagoon	dark,normal
perrserker	863	Perrserker	steel
cursola	864	Cursola	ghost
sirfetchd	865	Sirfetch'd	fighting
mr-rime	866	Mr. Rime	ice,psychic
runerigus	867	Runerigus	ground,ghost
milcery	868	Milcery	fairy
alcremie	869	Alcremie	fairy
falinks	870	Falinks	fighting
pincurchin	871	Pincurchin	electric
snom	872	Snom	ice,bug
frosmoth	873	Frosmoth	ice,bug
stonjourner	874	Stonjourner	rock
eiscue	875	Eiscue	ice
indeedee	876	Indeedee	psychic,normal
morpeko	877	Morpeko	electric,dark
cufant	878	Cufant	steel
copperajah	879	Copperajah	steel
dracozolt	880	Dracozolt	electric,dragon
arctozolt	881	Arctozolt	electric,ice
dracovish	882	Dracovish	water,dragon
arctovish	883	Arctovish	water,ice
duraludon	884	Duraludon	steel,dragon
dreepy	885	Dreepy	dragon,ghost
drakloak	886	Drakloak	dragon,ghost
dragapult	887	Dragapult	dragon,ghost
zacian	888	Zacian	fairy
zamazenta	889	Zamazenta	fighting
eternatus	890	Eternatus	poison,dragon
kubfu	891	Kubfu	fighting
urshifu	892	Urshifu	fighting,dark
zarude	893	Zarude	dark,grass
regieleki	894	Regieleki	electric
regidrago	895	Regidrago	dragon
glastrier	896	Glastrier	ice
spectrier	897	Spectrier	ghost
calyrex	898	Calyrex	psychic,grass
wyrdeer	899	Wyrdeer	normal,psychic
kleavor	900	Kleavor	bug,rock
ursaluna	901	Ursaluna	ground,normal
basculegion	902	Basculegion	water,ghost
sneasler	903	Sneasler	fighting,poison
overqwil	904	Overqwil	dark,poison
enamorus	905	Enamorus	fairy,flying
